articleID,headlines,userID,numUpvotes,numDownvotes
1,McDaniels: Broncos failure prepped me for Vegas,user_32,65,75
2,No venue change for trial of ex-NFL star's killer,user_85,13,40
3,Cincinnati calls off school day after Super Bowl,user_50,84,43
4,Eberflus: Bears will build offense around Fields,user_96,62,91
5,Giants coach Daboll hopes Graham stays as DC,user_3,28,81
6,Ravens to look at 'everything' to swat injury bug,user_4,24,19
7,Bengals encouraged by initial tests on Uzomah,user_40,51,53
8,AB's glove from MetLife meltdown up for auction,user_89,33,20
9,Sources: Raiders to hire McDaniels as new coach,user_33,34,64
10,49ers' Tartt laments missed pick: Let team down,user_49,3,29
11,How did the Chiefs lose that game? Barnwell on a meltdown and the Bengals' unbelievable second half,user_85,27,1
12,Packers promote OL coach Stenavich to OC job,user_5,82,73
13,"First look at Rams-Bengals: Early Super Bowl picks, big questions and matchups to know",user_65,63,97
14,Mahomes: Step short of SB not 'our standard',user_44,27,63
15,"Rams finally best 49ers, will host L.A. Super Bowl",user_49,78,27
16,Garoppolo: Emotions hit after likely 49ers finale,user_91,53,82
17,"Bengals win AFC title, secure 3rd Super Bowl bid",user_81,42,31
18,Rams installed as 3.5-point Super Bowl favorites,user_84,63,97
19,"LeBron James, Josh Allen and more react as Joe Burrow and Bengals punch Super Bowl ticket",user_83,91,31
20,"NFC Championship Game: Sports world reacts as Stafford, OBJ and Rams earn spot in Super Bowl",user_87,43,66
21,Bengals TE Uzomah carted off with knee injury,user_98,86,54
22,Bengals top Chiefs 27-24 in OT to clinch Super Bowl trip,user_31,95,54
23,Party like it's 1988: Life the last time the Bengals were in the Super Bowl,user_24,4,18
24,"Source: Vikes, Harbaugh talk about HC vacancy",user_100,26,89
25,"Our guide to 49ers-Rams: Picks, bold predictions and matchups to know",user_14,32,1
26,"Game plan keys for 49ers-Rams: How each team could win, players to watch, more",user_19,47,64
27,Bears hire Pack's Getsy as offensive coordinator,user_83,38,16
28,Giants hire ex-Bills coordinator Daboll as coach,user_34,91,98
29,Chiefs clear Mathieu to play in AFC title game,user_43,98,74
30,Can you tweet your Super Bowl dreams into existence? These players are trying,user_98,78,100
31,"Sources: Brady retiring after 22 years, 7 rings",user_98,76,34
32,Tom Brady's time with Tampa Bay Bucs was lots of fun while it lasted,user_29,90,63
33,Open letter to Tom Brady: Thank you for taking us on a magical ride,user_94,88,84
34,Official: Badgers hire Ravens' Engram to be OC,user_32,43,82
35,Let's find new starting QBs for the Bucs and Packers: Barnwell on options for life after Brady and Rodgers,user_26,70,55
36,How Tom Brady became the NFL's first true global icon,user_87,32,26
37,"Arnette jailed on gun, drug charges; cut by Chiefs",user_28,50,34
38,Can Ja'Marr Chase be stopped? How the Chiefs hope to limit the Bengals' WR,user_74,13,77
39,"49ers' Williams questionable, adamant he'll play",user_2,98,12
40,Man cleared in shooting of Bills DE's brother,user_55,50,11
41,Hackett ready to get to work on Broncos' offense,user_20,10,70
42,Survey: Stars' non-vax decisions vary with fans,user_47,22,81
43,"Burrow, Bengals prepared for loud crowd in K.C.",user_34,62,82
44,Jerry: McCarthy safe; Quinn declined NFL HC job,user_68,22,71
45,Steelers GM Colbert stepping down after draft,user_43,3,85
46,Ex-WFT staffers to meet with House committee,user_31,18,30
47,Bears turn to Colts' Eberflus as new head coach,user_15,89,42
48,NFL conference championship betting nuggets: Patrick Mahomes dominant in revenge games,user_97,16,40
49,"Ravens tab U-M's Macdonald, 34, to lead defense",user_56,26,7
50,Hackett agrees to become Broncos' head coach,user_17,29,50
51,'Grateful' Roethlisberger retires after 18 seasons,user_27,39,49
52,Source: Cowboys' McCarthy told he will return,user_56,95,46
53,Sources: Cowboys DC Quinn staying in Dallas,user_48,44,91
54,How 49ers' Kyle Shanahan and Rams' Sean McVay create poetry in pre-snap motion,user_63,40,61
55,"Revival engaged: Odell Beckham Jr. giving Los Angeles Rams boost in production, good vibes",user_89,71,32
56,Vikes GM Adofo-Mensah jumps into finding coach,user_20,9,16
57,"Fisher, Fedora fill final two USFL coach openings",user_3,65,16
58,Want some NFL winners? ,user_91,44,5
59,"At 44, Bucs QB Tom Brady says 'I've found my voice more.' Why now?",user_87,16,72
60,"Chiefs fans, in nod to Bills Mafia, give to hospital",user_3,73,70
61,Gronk says he'd retire if forced to decide now,user_13,19,7
62,Fantasy football: DFS best buys for conference championship round ,user_10,72,67
63,Vikings hire Browns' Adofo-Mensah as new GM,user_35,1,94
64,Why Kansas City Chiefs receiver Tyreek Hill had to pivot this season,user_95,48,13
65,"Early look at 2022 free-agent receivers: Execs on Davante Adams, Chris Godwin and a loaded class",user_82,9,31
66,Raiders' Hobbs pleads guilty to lesser charge,user_39,69,74
67,Bills GM would like to see league revisit OT rules,user_93,67,40
68,NFL betting market watch: Books expecting 49ers support; early sharp money on Rams,user_62,35,43
69,Browns QB Mayfield taking social media break,user_18,28,84
70,"Giants back Jones as QB, won't trade for Watson",user_94,79,32
71,McShay: How Patrick Mahomes changed the way I scout quarterbacks,user_72,82,65
72,"Eagles OL Brooks retires, cites recent injuries",user_49,26,38
73,"Legacy, egos and sunsets: Eli, Kurt, others debate why Aaron Rodgers should(n't) stay with Packers",user_75,65,38
74,Source: Eagles create cap space with Brooks deal,user_17,95,35
75,Ranking all 32 NFL rookie classes: Which teams got the most production and value?,user_11,42,11
