playerID,year,games,passYds,passTDs,ints,compPct,rec,recYds,recTDs,rshAtt,rshYds,rshTDs
00-0035676,2019,16,0.0,0.0,0.0,0.0,52.0,1051.0,8.0,3.0,60.0,1.0
00-0035676,2020,14,0.0,0.0,0.0,0.0,70.0,1075.0,12.0,0.0,0.0,0.0
00-0035676,2021,13,0.0,0.0,0.0,0.0,63.0,869.0,5.0,2.0,10.0,0.0
00-0035676,2022,17,0.0,0.0,0.0,0.0,88.0,1496.0,12.0,0.0,0.0,0.0
00-0035676,2023,17,0.0,0.0,0.0,0.0,106.0,1456.0,8.0,0.0,0.0,0.0
00-0031609,2016,6,0.0,0.0,0.0,0.0,16.0,160.0,0.0,0.0,0.0,0.0
00-0031609,2017,9,0.0,0.0,0.0,0.0,21.0,244.0,2.0,0.0,0.0,0.0
00-0031609,2018,3,0.0,0.0,0.0,0.0,3.0,48.0,1.0,0.0,0.0,0.0
00-0036265,2020,9,0.0,0.0,0.0,0.0,2.0,21.0,0.0,46.0,242.0,2.0
00-0036265,2021,17,0.0,0.0,0.0,0.0,34.0,313.0,2.0,187.0,803.0,5.0
00-0036265,2022,17,0.0,0.0,0.0,0.0,28.0,206.0,0.0,186.0,770.0,7.0
00-0036265,2023,15,0.0,0.0,0.0,0.0,22.0,223.0,0.0,178.0,613.0,2.0
00-0027942,2012,16,0.0,0.0,0.0,0.0,97.0,1350.0,12.0,4.0,38.0,0.0
00-0027942,2013,16,0.0,0.0,0.0,0.0,98.0,1426.0,12.0,0.0,0.0,0.0
00-0027942,2014,12,0.0,0.0,0.0,0.0,69.0,1041.0,8.0,2.0,2.0,0.0
00-0027942,2015,16,0.0,0.0,0.0,0.0,86.0,1297.0,10.0,0.0,0.0,0.0
00-0027942,2016,10,0.0,0.0,0.0,0.0,66.0,964.0,4.0,0.0,0.0,0.0
00-0027942,2017,16,0.0,0.0,0.0,0.0,75.0,1086.0,8.0,0.0,0.0,0.0
00-0027942,2018,9,0.0,0.0,0.0,0.0,46.0,694.0,7.0,0.0,0.0,0.0
00-0027942,2020,16,0.0,0.0,0.0,0.0,47.0,523.0,2.0,0.0,0.0,0.0
00-0027942,2021,16,0.0,0.0,0.0,0.0,54.0,848.0,3.0,0.0,0.0,0.0
00-0027942,2022,13,0.0,0.0,0.0,0.0,24.0,238.0,2.0,0.0,0.0,0.0
00-0029654,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0029654,2013,7,0.0,0.0,0.0,0.0,8.0,130.0,0.0,2.0,6.0,0.0
00-0029654,2014,7,0.0,0.0,0.0,0.0,9.0,93.0,0.0,2.0,-2.0,0.0
