teamID,teamName,teamStrength
0,Arizona Cardinals,73.6
1,Atlanta Falcons,80.12
2,Baltimore Ravens,99.01
3,Buffalo Bills,82.36
4,Carolina Panthers,72.97
5,Chicago Bears,63.45
6,Cincinnati Bengals,72.57
7,Cleveland Browns,64.88
8,Dallas Cowboys,74.91
9,Denver Broncos,66.64
10,Detroit Lions,85.27
11,Green Bay Packers,70.82
12,Houston Texans,65.55
13,Indianapolis Colts,72.74
14,Jacksonville Jaguars,60.46
15,Kansas City Chiefs,75.98
16,Las Vegas Raiders,88.51
17,Los Angeles Chargers,66.01
18,Los Angeles Rams,83.91
19,Miami Dolphins,75.43
20,Minnesota Vikings,71.0
21,New England Patriots,86.98
22,New Orleans Saints,100.0
23,New York Giants,65.41
24,New York Jets,73.7
25,Philadelphia Eagles,92.49
26,Pittsburgh Steelers,72.03
27,San Francisco 49ers,84.74
28,Seattle Seahawks,89.77
29,Tampa Bay Buccaneers,92.92
30,Tennessee Titans,73.54
31,Washington Commanders,64.35
